"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"10/01/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"64,27";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"10/01/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"50,97";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"10/01/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"106,40";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"03/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"112,76";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"03/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"88,04";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"03/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"185,43";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"04/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"27267,07";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"04/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"21321,53";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"04/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"44851,10";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"05/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"24075,92";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"05/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"18815,13";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"05/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"39591,84";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"29083,04";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"22737,60";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"47834,49";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"07/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"38289,87";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
